id_posslideshow;id_lang;title;description;legend;url;image;
"1";"1";"Valentine Sale Offer";"&lt;!--&lt;div class="info desc1"&gt;
&lt;p class="title1"&gt;Gift for Her&lt;/p&gt;
&lt;p class="title2"&gt;Gift for Him&lt;/p&gt;
&lt;p class="title3"&gt;Wooden Craft, T-Shirts, Soft Toys, Crafts&lt;/p&gt;
&lt;p class="readmore"&gt;&lt;a href="#"&gt;&lt;span&gt;Shop now&lt;/span&gt;&lt;/a&gt;&lt;/p&gt;
&lt;/div&gt;--&gt;";"Galific Valentine Sale";"http://galific.com/en/";"9b2a0e7d3f2006eead5e1b78a4742df20279355c_valentine-gift-sale-galific.jpg";
"1";"2";"Sample 1";"&lt;div class="info desc1"&gt;
&lt;p class="title1"&gt;Kitchen&lt;/p&gt;
&lt;p class="title2"&gt;Convenience&lt;/p&gt;
&lt;p class="title3"&gt;Utensils, Crockery, Storage and Wooden Accessories&lt;/p&gt;
&lt;p class="readmore"&gt;&lt;a href="#"&gt;&lt;span&gt;Shop now&lt;/span&gt;&lt;/a&gt;&lt;/p&gt;
&lt;/div&gt;";"sample-1";"http://www.posthemes.com";"sample-1.jpg";
"2";"1";"Valentine Contest";"&lt;div class="info desc1"&gt;
&lt;p class="title2" style="color: #ba2038;"&gt;Show us your best Valentine's Shot&lt;/p&gt;
&lt;p class="title3" style="color: #e4e3e1;"&gt;Facebook &amp; Instagram with #galificgifts #galific_vcontest&lt;/p&gt;
&lt;p class="title3" style="color: #e4e3e1;"&gt;Win lovely prizes up to 10000/-&lt;/p&gt;
&lt;p class="readmore"&gt;&lt;a href="https://galific.com/en/home/21-register-for-v-contest.html"&gt;&lt;span&gt;Register Now&lt;/span&gt;&lt;/a&gt;&lt;/p&gt;
&lt;/div&gt;";"Secret Valentine Contest";"http://galific.com/en/19-valentine-contest";"3ff0ce37ad3e7a62aa5dc437cbb478085789a928_banner-galific2.jpg";
"2";"2";"Sample 2";"&lt;div class="info desc2"&gt;
&lt;p class="title1"&gt;Best Blenders&lt;/p&gt;
&lt;p class="title2"&gt;in Australia!&lt;/p&gt;
&lt;p class="title3"&gt;As rated by consumers on Product Review&lt;/p&gt;
&lt;p class="readmore"&gt;&lt;a href="#"&gt;&lt;span&gt;Shop now&lt;/span&gt;&lt;/a&gt;&lt;/p&gt;
&lt;/div&gt;";"sample-2";"http://www.posthemes.com";"sample-2.jpg";
