apicall_954834405d762e3b854af89d3841eb2a,Искане за недостъпна
appcheckabandonedcart_0259a1bb6da0603027485ebdec0e64e3,Уведомление е изпратено успешно
appcheckabandonedcart_32cc9bac41739e0edebc83e239783807,Изоставен настройка количка е забранена
appcheckabandonedcart_d5591d98b2f74d48205cfba7803045cf,Нямате права за достъп до тази страница
apppayment_c91ceabee74d73ebaa1c93e38a108179,Не може да се зареди количка, идентификационен номер на кошница липсва.
apppayment_02d12101fb0f9afa9e6edb0fef748a42,Не може да се зареди количка, количка не е валиден.
apppayment_5189067f57ecc2a8b0fed9324bb808ca,Адрес за доставка не е валиден.
apppayment_208a75cceeac8424211bff23a9c5fae9,Имейл адрес на клиента не е валиден
apppayment_dcf951059ca444f87d296d3b192783e6,Клиент с този имейл не съществува
apppayment_dd6b089a49908d671c3e9cc8dc5899ae,Невалиден съобщение
appaddaddress_5058fb0856b024c6a3c18d8e0c764157,адрес за доставка е актуализиран успешно.
appaddaddress_51c3de87708e874610d18c0f70e525a3,адрес за доставка е добавен успешно.
appaddaddress_432100411a1c9a89bf06133afe8b96ce,Възникна грешка при добавяне на вашата адрес.
appaddaddress_eeabead01c6c6f25f22bf0b041df58a9,Трябва да се регистрирате поне един телефонен номер.
appaddaddress_66ed24fd1b91e55ae0ad7fdb4ed251c7,Тази страна изисква от вас да избере държава.
appaddaddress_3dc3fe315fc270e7425b12e157e4619d,Тази страна не е активен.
appaddaddress_78f66140209a4979028fb80f21be5a44,Най-Zip / Postal код \ 'съм е невалиден. Той трябва да следва този формат:% S
appaddaddress_50b668816d2acbdb62484bb5ea5d25ab,Изисква се Zip / Пощенски код.
appaddaddress_e6c1e151f2554afad6c0d551046650e8,Най-Zip / Пощенски код е невалиден.
appaddaddress_7c77177e0084c27161d63e7de535a1c6,идентификационен номер е неправилен или вече е била използвана.
appaddaddress_355169a606c66a6a39b8d23609f7329e,псевдоним% S вече е била използвана. Моля, изберете друг.
appaddaddress_a00acc9b49d721d1e3006715a0ce7014,Имейл адресът не е валиден
appaddaddress_dcf951059ca444f87d296d3b192783e6,Клиент с този имейл не съществува
appaddgiftwrapping_e61f52d02b9f52fbe1fd41ed320e29c3,Cart не е намерен
appaddgiftwrapping_694e8d1f2ee056f98ee488bdc4982d73,количество
appaddgiftwrapping_6665e3761028c84e1d228de3432229ed,Код
appaddgiftwrapping_287234a1ff35a314b5b6bc4e5828e745,Атрибути
appaddgiftwrapping_604279a9bb5369542695f2ad9e6185ca,Обща цена (данък. Без)
appaddgiftwrapping_ada0f55ef37f4928c5cd970f378c15e8,Общо ваучери
appaddgiftwrapping_7c166105b10b8a6a0c0f1c6540f5cd5e,Общо за опаковане на подаръци
appaddgiftwrapping_f4e8b53a114e5a17d051ab84d326cae5,Общо корабоплаване
appaddgiftwrapping_c6995d6cc084c192bc2e742f052a5c74,Безплатна доставка!
appaddgiftwrapping_b602e0d0c6a72053d0a5be60cb2f8126,Общо Дан
appaddgiftwrapping_f3547ae5e06426d87312eff7dda775aa,Обща цена
appaddgiftwrapping_ec1f68c64fcaf8260cfacf58cd4d4af7,Възползвайте се от нашите ексклузивни оферти
appaddtocart_d0be3f6fa5d819a2a4b8cbf33ed465fe,с данни за продукти липсва
appaddtocart_dfbe69c6d9568ecb0e65e7b32ed92a3a,Продуктът не е намерен
appaddtocart_b771481cd2413f3944a8dd1a7336a7a6,Невалиден Съобщение
appaddtocart_884d700eec6bda171ce20acc5195fb3d,Добави минимално количество от продукта
appaddtocart_92a8d89d9ecdd91b4cc4566666b16a60,Не може да добавите продукта в кошницата
appaddtocart_d09302c4932f23969957f06289bfddb3,Каталог добавен успешно
