app_text_sec,Sec
app_text_min,Min
app_text_hour,Hour
apicall_954834405d762e3b854af89d3841eb2a,Request unavailable
appcheckabandonedcart_0259a1bb6da0603027485ebdec0e64e3,Notification Sent successfully
appcheckabandonedcart_32cc9bac41739e0edebc83e239783807,Abandoned cart setting is disabled
appcheckabandonedcart_d5591d98b2f74d48205cfba7803045cf,You are not authorized to access this page
apppayment_c91ceabee74d73ebaa1c93e38a108179,"Unable to load cart, cart id is missing."
apppayment_02d12101fb0f9afa9e6edb0fef748a42,"Unable to load cart, cart is not valid."
apppayment_5189067f57ecc2a8b0fed9324bb808ca,Shipping address is not valid.
apppayment_208a75cceeac8424211bff23a9c5fae9,Customer Email is not Valid
apppayment_dcf951059ca444f87d296d3b192783e6,Customer with this email not exist
apppayment_dd6b089a49908d671c3e9cc8dc5899ae,Invalid message
appaddaddress_5058fb0856b024c6a3c18d8e0c764157,shipping address has been updated successfully.
appaddaddress_51c3de87708e874610d18c0f70e525a3,shipping address has been added successfully.
appaddaddress_432100411a1c9a89bf06133afe8b96ce,An error occurred while adding your address.
appaddaddress_eeabead01c6c6f25f22bf0b041df58a9,You must register at least one phone number.
appaddaddress_66ed24fd1b91e55ae0ad7fdb4ed251c7,This country requires you to chose a State.
appaddaddress_3dc3fe315fc270e7425b12e157e4619d,This country is not active.
appaddaddress_78f66140209a4979028fb80f21be5a44,The Zip/Postal code you\'ve entered is invalid. It must follow this format: %s
appaddaddress_50b668816d2acbdb62484bb5ea5d25ab,A Zip/Postal code is required.
appaddaddress_e6c1e151f2554afad6c0d551046650e8,The Zip/Postal code is invalid.
appaddaddress_7c77177e0084c27161d63e7de535a1c6,The identification number is incorrect or has already been used.
appaddaddress_355169a606c66a6a39b8d23609f7329e,The alias %s has already been used. Please select another one.
appaddaddress_a00acc9b49d721d1e3006715a0ce7014,Email address is not valid
appaddaddress_dcf951059ca444f87d296d3b192783e6,Customer with this email not exist
appaddgiftwrapping_e61f52d02b9f52fbe1fd41ed320e29c3,Cart not found
appaddgiftwrapping_694e8d1f2ee056f98ee488bdc4982d73,Quantity
appaddgiftwrapping_6665e3761028c84e1d228de3432229ed,SKU
appaddgiftwrapping_287234a1ff35a314b5b6bc4e5828e745,Attributes
appaddgiftwrapping_604279a9bb5369542695f2ad9e6185ca,Total Price(tax excl.)
appaddgiftwrapping_ada0f55ef37f4928c5cd970f378c15e8,Total vouchers
appaddgiftwrapping_7c166105b10b8a6a0c0f1c6540f5cd5e,Total gift wrapping
appaddgiftwrapping_f4e8b53a114e5a17d051ab84d326cae5,Total shipping
appaddgiftwrapping_c6995d6cc084c192bc2e742f052a5c74,Free shipping!
appaddgiftwrapping_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appaddgiftwrapping_f3547ae5e06426d87312eff7dda775aa,Total Price
appaddgiftwrapping_ec1f68c64fcaf8260cfacf58cd4d4af7,Take advantage of our exclusive offers
appaddtocart_d0be3f6fa5d819a2a4b8cbf33ed465fe,Product data is missing
appaddtocart_dfbe69c6d9568ecb0e65e7b32ed92a3a,Product not found
appaddtocart_b771481cd2413f3944a8dd1a7336a7a6,Invalid Message
appaddtocart_884d700eec6bda171ce20acc5195fb3d,Add minimum Quantity of product
