app_text_sec,Sec
app_text_min,Min
app_text_hour,Hour
apicall_954834405d762e3b854af89d3841eb2a,solicitar disponible
appcheckabandonedcart_0259a1bb6da0603027485ebdec0e64e3,La notificación enviada correctamente
appcheckabandonedcart_32cc9bac41739e0edebc83e239783807,ajuste de la compra abandonado está desactivado
appcheckabandonedcart_d5591d98b2f74d48205cfba7803045cf,No tiene permisos para acceder a esta página
apppayment_c91ceabee74d73ebaa1c93e38a108179,No se puede cargar la compra, carrito ID no existe.
apppayment_02d12101fb0f9afa9e6edb0fef748a42,No se puede cargar la compra, la compra no es válido.
apppayment_5189067f57ecc2a8b0fed9324bb808ca,La dirección de envío no es válido.
apppayment_208a75cceeac8424211bff23a9c5fae9,Cliente de correo electrónico no es válido
apppayment_dcf951059ca444f87d296d3b192783e6,Cliente con este correo electrónico no existe
apppayment_dd6b089a49908d671c3e9cc8dc5899ae,mensaje no válido
appaddaddress_5058fb0856b024c6a3c18d8e0c764157,dirección de envío se ha actualizado correctamente.
appaddaddress_51c3de87708e874610d18c0f70e525a3,dirección de envío se ha añadido con éxito.
appaddaddress_432100411a1c9a89bf06133afe8b96ce,Se produjo un error al agregar su dirección.
appaddaddress_eeabead01c6c6f25f22bf0b041df58a9,Debe registrar al menos un número de teléfono.
appaddaddress_66ed24fd1b91e55ae0ad7fdb4ed251c7,Este país requiere que se eligió un Estado.
appaddaddress_3dc3fe315fc270e7425b12e157e4619d,Este país no está activo.
appaddaddress_78f66140209a4979028fb80f21be5a44,El Postal / Código Postal que \ 've introducida no es válida. Se debe seguir el siguiente formato:% s
appaddaddress_50b668816d2acbdb62484bb5ea5d25ab,Se requiere una Postal / Código Postal.
appaddaddress_e6c1e151f2554afad6c0d551046650e8,El Postal / Código Postal no es válido.
appaddaddress_7c77177e0084c27161d63e7de535a1c6,El número de identificación es incorrecta o ya se ha utilizado.
appaddaddress_355169a606c66a6a39b8d23609f7329e,El alias% s ya se ha utilizado. Por favor seleccione otro.
appaddaddress_a00acc9b49d721d1e3006715a0ce7014,La dirección de correo electrónico no es válida
appaddaddress_dcf951059ca444f87d296d3b192783e6,Cliente con este correo electrónico no existe
appaddgiftwrapping_e61f52d02b9f52fbe1fd41ed320e29c3,Carro no encontrado
appaddgiftwrapping_694e8d1f2ee056f98ee488bdc4982d73,Cantidad
appaddgiftwrapping_6665e3761028c84e1d228de3432229ed,SKU
appaddgiftwrapping_287234a1ff35a314b5b6bc4e5828e745,atributos
appaddgiftwrapping_604279a9bb5369542695f2ad9e6185ca,El precio total (sin IVA).
appaddgiftwrapping_ada0f55ef37f4928c5cd970f378c15e8,vales totales
appaddgiftwrapping_7c166105b10b8a6a0c0f1c6540f5cd5e,envoltura total regalo
appaddgiftwrapping_f4e8b53a114e5a17d051ab84d326cae5,envío total
appaddgiftwrapping_c6995d6cc084c192bc2e742f052a5c74,¡Envío gratis!
appaddgiftwrapping_b602e0d0c6a72053d0a5be60cb2f8126,Total impuestos
appaddgiftwrapping_f3547ae5e06426d87312eff7dda775aa,Precio total
appaddgiftwrapping_ec1f68c64fcaf8260cfacf58cd4d4af7,Aprovecha nuestras ofertas exclusivas
appaddtocart_d0be3f6fa5d819a2a4b8cbf33ed465fe,datos de producto no se encuentra
