app_text_sec,Sec
app_text_min,Min
app_text_hour,Hour
apicall_954834405d762e3b854af89d3841eb2a,Demande indisponible
appcheckabandonedcart_0259a1bb6da0603027485ebdec0e64e3,Notification envoyée avec succès
appcheckabandonedcart_32cc9bac41739e0edebc83e239783807,Abandonné réglage de panier est désactivé
appcheckabandonedcart_d5591d98b2f74d48205cfba7803045cf,Vous n'êtes pas autorisé à accéder à cette page
apppayment_c91ceabee74d73ebaa1c93e38a108179,Impossible de charger panier, id panier est manquant.
apppayment_02d12101fb0f9afa9e6edb0fef748a42,Impossible de charger le panier, panier est pas valide.
apppayment_5189067f57ecc2a8b0fed9324bb808ca,L'adresse de livraison n'est pas valide.
apppayment_208a75cceeac8424211bff23a9c5fae9,Email Client est non valide
apppayment_dcf951059ca444f87d296d3b192783e6,Client avec cet email existe pas
apppayment_dd6b089a49908d671c3e9cc8dc5899ae,Message non valide
appaddaddress_5058fb0856b024c6a3c18d8e0c764157,adresse de livraison a été mis à jour.
appaddaddress_51c3de87708e874610d18c0f70e525a3,adresse de livraison a été ajouté avec succès.
appaddaddress_432100411a1c9a89bf06133afe8b96ce,Une erreur est survenue lors de l'ajout de votre adresse.
appaddaddress_eeabead01c6c6f25f22bf0b041df58a9,Vous devez inscrire au moins un numéro de téléphone.
appaddaddress_66ed24fd1b91e55ae0ad7fdb4ed251c7,Ce pays vous oblige à choisir un État.
appaddaddress_3dc3fe315fc270e7425b12e157e4619d,Ce pays n'est pas actif.
appaddaddress_78f66140209a4979028fb80f21be5a44,Zip / code postal que vous avez entré \ 'est pas valide. Il doit suivre ce format:% s
appaddaddress_50b668816d2acbdb62484bb5ea5d25ab,A Zip / code postal est requis.
appaddaddress_e6c1e151f2554afad6c0d551046650e8,Zip / code postal est invalide.
appaddaddress_7c77177e0084c27161d63e7de535a1c6,Le numéro d'identification est incorrecte ou a déjà été utilisé.
appaddaddress_355169a606c66a6a39b8d23609f7329e,L'alias% s a déjà été utilisé. S'il vous plaît sélectionner un autre.
appaddaddress_a00acc9b49d721d1e3006715a0ce7014,l'adresse email n'est pas valide
appaddaddress_dcf951059ca444f87d296d3b192783e6,Client avec cet email existe pas
appaddgiftwrapping_e61f52d02b9f52fbe1fd41ed320e29c3,Panier not found
appaddgiftwrapping_694e8d1f2ee056f98ee488bdc4982d73,Quantité
appaddgiftwrapping_6665e3761028c84e1d228de3432229ed,SKU
appaddgiftwrapping_287234a1ff35a314b5b6bc4e5828e745,Les attributs
appaddgiftwrapping_604279a9bb5369542695f2ad9e6185ca,Prix ​​total (taxe excl.)
appaddgiftwrapping_ada0f55ef37f4928c5cd970f378c15e8,total des bons
appaddgiftwrapping_7c166105b10b8a6a0c0f1c6540f5cd5e,Total emballage-cadeau
appaddgiftwrapping_f4e8b53a114e5a17d051ab84d326cae5,expédition totale
appaddgiftwrapping_c6995d6cc084c192bc2e742f052a5c74,Livraison gratuite!
appaddgiftwrapping_b602e0d0c6a72053d0a5be60cb2f8126,Taxe total
appaddgiftwrapping_f3547ae5e06426d87312eff7dda775aa,Prix ​​total
appaddgiftwrapping_ec1f68c64fcaf8260cfacf58cd4d4af7,Profitez de nos offres exclusives
appaddtocart_d0be3f6fa5d819a2a4b8cbf33ed465fe,Les données du produit manquant
