app_text_sec,Sec
app_text_min,Min
app_text_hour,Hour
apicall_954834405d762e3b854af89d3841eb2a,kérése nem elérhető
appcheckabandonedcart_0259a1bb6da0603027485ebdec0e64e3,Notification sikeresen elküldve
appcheckabandonedcart_32cc9bac41739e0edebc83e239783807,Elhagyott helyezése beállítás le van tiltva
appcheckabandonedcart_d5591d98b2f74d48205cfba7803045cf,Nincs jogod az oldal megtekintéséhez
apppayment_c91ceabee74d73ebaa1c93e38a108179,Nem sikerült betölteni a kosár kosárazonosító hiányzik.
apppayment_02d12101fb0f9afa9e6edb0fef748a42,Nem sikerült betölteni a kosár, kosár nem érvényes.
apppayment_5189067f57ecc2a8b0fed9324bb808ca,A szállítási cím nem érvényes.
apppayment_208a75cceeac8424211bff23a9c5fae9,Ügyfél e-mail nem érvényes
apppayment_dcf951059ca444f87d296d3b192783e6,Ügyfél az e-mail nem létezik
apppayment_dd6b089a49908d671c3e9cc8dc5899ae,Érvénytelen üzenet
appaddaddress_5058fb0856b024c6a3c18d8e0c764157,Szállítási cím frissítése sikerült.
appaddaddress_51c3de87708e874610d18c0f70e525a3,szállítási cím lett sikeresen hozzáadva.
appaddaddress_432100411a1c9a89bf06133afe8b96ce,Hiba történt hozzáadja a címét.
appaddaddress_eeabead01c6c6f25f22bf0b041df58a9,Be kell regisztrálni legalább egy telefonszámot.
appaddaddress_66ed24fd1b91e55ae0ad7fdb4ed251c7,Ez az ország megköveteli, hogy úgy döntött, egy állam.
appaddaddress_3dc3fe315fc270e7425b12e157e4619d,Ez az ország nem aktív.
appaddaddress_78f66140209a4979028fb80f21be5a44,A Zip / Postal kód \ 've érvénytelen. Meg kell követni ezt a formátumot:% s
appaddaddress_50b668816d2acbdb62484bb5ea5d25ab,A Zip / Postal kód szükséges.
appaddaddress_e6c1e151f2554afad6c0d551046650e8,A Zip / Postal kód érvénytelen.
appaddaddress_7c77177e0084c27161d63e7de535a1c6,Az azonosító szám helytelen, vagy már felhasználták.
appaddaddress_355169a606c66a6a39b8d23609f7329e,Az alias% s már felhasználták. Kérjük, válasszon egy másikat.
appaddaddress_a00acc9b49d721d1e3006715a0ce7014,e-mail cím nem érvényes
appaddaddress_dcf951059ca444f87d296d3b192783e6,Ügyfél az e-mail nem létezik
appaddgiftwrapping_e61f52d02b9f52fbe1fd41ed320e29c3,A kosár nem található
appaddgiftwrapping_694e8d1f2ee056f98ee488bdc4982d73,Mennyiség
appaddgiftwrapping_6665e3761028c84e1d228de3432229ed,SKU
appaddgiftwrapping_287234a1ff35a314b5b6bc4e5828e745,attribútumok
appaddgiftwrapping_604279a9bb5369542695f2ad9e6185ca,Teljes ár (áfa nélkül).
appaddgiftwrapping_ada0f55ef37f4928c5cd970f378c15e8,Összesen utalványok
appaddgiftwrapping_7c166105b10b8a6a0c0f1c6540f5cd5e,Összesen csomagolópapír
appaddgiftwrapping_f4e8b53a114e5a17d051ab84d326cae5,Összesen szállítás
appaddgiftwrapping_c6995d6cc084c192bc2e742f052a5c74,Ingyenes szállítás!
appaddgiftwrapping_b602e0d0c6a72053d0a5be60cb2f8126,Összesen adó
appaddgiftwrapping_f3547ae5e06426d87312eff7dda775aa,Teljes ár
