app_text_sec,Sec
app_text_min,Min
app_text_hour,Hour
apicall_954834405d762e3b854af89d3841eb2a,Prośba niedostępna
appcheckabandonedcart_0259a1bb6da0603027485ebdec0e64e3,Powiadomienie wysłane z powodzeniem
appcheckabandonedcart_32cc9bac41739e0edebc83e239783807,Opuszczony ustawienie koszyk jest wyłączony
appcheckabandonedcart_d5591d98b2f74d48205cfba7803045cf,Nie masz wystarczających uprawnień, aby uzyskać dostęp do tej strony
apppayment_c91ceabee74d73ebaa1c93e38a108179,Nie można załadować wózek, wózek id brakuje.
apppayment_02d12101fb0f9afa9e6edb0fef748a42,Nie można załadować wózek, wózek nie jest ważna.
apppayment_5189067f57ecc2a8b0fed9324bb808ca,wysyłka adres jest nieprawidłowy.
apppayment_208a75cceeac8424211bff23a9c5fae9,E-mail klienta jest nieprawidłowy
apppayment_dcf951059ca444f87d296d3b192783e6,Klient z tego e-maila nie istnieje
apppayment_dd6b089a49908d671c3e9cc8dc5899ae,Nieprawidłowa wiadomość
appaddaddress_5058fb0856b024c6a3c18d8e0c764157,wysyłka adres został pomyślnie zaktualizowany.
appaddaddress_51c3de87708e874610d18c0f70e525a3,wysyłka adres został dodany pomyślnie.
appaddaddress_432100411a1c9a89bf06133afe8b96ce,Wystąpił błąd podczas dodawania adresu.
appaddaddress_eeabead01c6c6f25f22bf0b041df58a9,Musisz się zarejestrować co najmniej jeden numer telefonu.
appaddaddress_66ed24fd1b91e55ae0ad7fdb4ed251c7,Ten kraj wymaga wybrała państwo.
appaddaddress_3dc3fe315fc270e7425b12e157e4619d,Ten kraj nie jest aktywne.
appaddaddress_78f66140209a4979028fb80f21be5a44,Zip / Postal Code you \ 've jest nieprawidłowy. Musi on następujący format:% s
appaddaddress_50b668816d2acbdb62484bb5ea5d25ab,Wymagane jest Zip / kod pocztowy.
appaddaddress_e6c1e151f2554afad6c0d551046650e8,Zip / Postal Code jest nieprawidłowy.
appaddaddress_7c77177e0084c27161d63e7de535a1c6,Numer identyfikacyjny jest nieprawidłowy lub został już użyty.
appaddaddress_355169a606c66a6a39b8d23609f7329e,Alias% s został już użyty. Proszę wybrać inną.
appaddaddress_a00acc9b49d721d1e3006715a0ce7014,adres e-mail nie jest poprawny
appaddaddress_dcf951059ca444f87d296d3b192783e6,Klient z tego e-maila nie istnieje
appaddgiftwrapping_e61f52d02b9f52fbe1fd41ed320e29c3,Koszyk nie znaleziono
appaddgiftwrapping_694e8d1f2ee056f98ee488bdc4982d73,Ilość
appaddgiftwrapping_6665e3761028c84e1d228de3432229ed,SKU
appaddgiftwrapping_287234a1ff35a314b5b6bc4e5828e745,Atrybuty
appaddgiftwrapping_604279a9bb5369542695f2ad9e6185ca,Koszt całkowity (bez podatku).
appaddgiftwrapping_ada0f55ef37f4928c5cd970f378c15e8,Wszystkich kuponów
appaddgiftwrapping_7c166105b10b8a6a0c0f1c6540f5cd5e,Całkowite pakowanie prezentów
appaddgiftwrapping_f4e8b53a114e5a17d051ab84d326cae5,całość wysyłki
appaddgiftwrapping_c6995d6cc084c192bc2e742f052a5c74,Darmowa dostawa!
appaddgiftwrapping_b602e0d0c6a72053d0a5be60cb2f8126,Całkowity podatek
appaddgiftwrapping_f3547ae5e06426d87312eff7dda775aa,łączna cena
