app_text_sec,Sec
app_text_min,Min
app_text_hour,Hour
apicall_954834405d762e3b854af89d3841eb2a,solicitar indisponíveis
appcheckabandonedcart_0259a1bb6da0603027485ebdec0e64e3,Notificação enviada com sucesso
appcheckabandonedcart_32cc9bac41739e0edebc83e239783807,carrinho configuração abandonada está desativado
appcheckabandonedcart_d5591d98b2f74d48205cfba7803045cf,Você não está autorizado à acessar essa página
apppayment_c91ceabee74d73ebaa1c93e38a108179,Não foi possível carregar carro, carro id está faltando.
apppayment_02d12101fb0f9afa9e6edb0fef748a42,Não foi possível carregar carro, carro não é válido.
apppayment_5189067f57ecc2a8b0fed9324bb808ca,endereço de entrega não é válido.
apppayment_208a75cceeac8424211bff23a9c5fae9,Cliente E-mail não é válido
apppayment_dcf951059ca444f87d296d3b192783e6,Cliente com este e-mail não existe
apppayment_dd6b089a49908d671c3e9cc8dc5899ae,mensagem inválida
appaddaddress_5058fb0856b024c6a3c18d8e0c764157,endereço de entrega foi atualizado com sucesso.
appaddaddress_51c3de87708e874610d18c0f70e525a3,endereço do transporte foi adicionado com sucesso.
appaddaddress_432100411a1c9a89bf06133afe8b96ce,Ocorreu um erro ao adicionar o seu endereço.
appaddaddress_eeabead01c6c6f25f22bf0b041df58a9,Você deve registrar pelo menos um número de telefone.
appaddaddress_66ed24fd1b91e55ae0ad7fdb4ed251c7,Este país exige que você escolheu um Estado.
appaddaddress_3dc3fe315fc270e7425b12e157e4619d,Este país não está ativo.
appaddaddress_78f66140209a4979028fb80f21be5a44,O CEP / Postal você \ 've digitado é inválido. Ele deve seguir este formato:% s
appaddaddress_50b668816d2acbdb62484bb5ea5d25ab,Um CEP / Postal é necessária.
appaddaddress_e6c1e151f2554afad6c0d551046650e8,O CEP / Postal é inválido.
appaddaddress_7c77177e0084c27161d63e7de535a1c6,O número de identificação é incorrecta ou que já foi usado.
appaddaddress_355169a606c66a6a39b8d23609f7329e,O alias% s já foi usado. Por favor, selecione outro.
appaddaddress_a00acc9b49d721d1e3006715a0ce7014,o endereço de email não é válido
appaddaddress_dcf951059ca444f87d296d3b192783e6,Cliente com este e-mail não existe
appaddgiftwrapping_e61f52d02b9f52fbe1fd41ed320e29c3,Cart não encontrado
appaddgiftwrapping_694e8d1f2ee056f98ee488bdc4982d73,Quantidade
appaddgiftwrapping_6665e3761028c84e1d228de3432229ed,SKU
appaddgiftwrapping_287234a1ff35a314b5b6bc4e5828e745,Atributos
appaddgiftwrapping_604279a9bb5369542695f2ad9e6185ca,Preço total (sem IVA).
appaddgiftwrapping_ada0f55ef37f4928c5cd970f378c15e8,total de vales
appaddgiftwrapping_7c166105b10b8a6a0c0f1c6540f5cd5e,embrulho total presente
appaddgiftwrapping_f4e8b53a114e5a17d051ab84d326cae5,envio total
appaddgiftwrapping_c6995d6cc084c192bc2e742f052a5c74,Frete grátis!
appaddgiftwrapping_b602e0d0c6a72053d0a5be60cb2f8126,Taxa total
appaddgiftwrapping_f3547ae5e06426d87312eff7dda775aa,Preço total
appaddgiftwrapping_ec1f68c64fcaf8260cfacf58cd4d4af7,Aproveite as nossas ofertas exclusivas
appaddtocart_d0be3f6fa5d819a2a4b8cbf33ed465fe,Dados do produto está em falta
