app_text_sec,Sec
app_text_min,Min
app_text_hour,Hour
apicall_954834405d762e3b854af89d3841eb2a,запрос недоступен
appcheckabandonedcart_0259a1bb6da0603027485ebdec0e64e3,Уведомление успешно отправлено
appcheckabandonedcart_32cc9bac41739e0edebc83e239783807,Заброшенная установка корзины отключена
appcheckabandonedcart_d5591d98b2f74d48205cfba7803045cf,Вы не авторизованы для просмотра этой страницы
apppayment_c91ceabee74d73ebaa1c93e38a108179,Невозможно загрузить телегу, Идентификатор корзины отсутствует.
apppayment_02d12101fb0f9afa9e6edb0fef748a42,Невозможно загрузить тележку, тележка не действует.
apppayment_5189067f57ecc2a8b0fed9324bb808ca,Адрес доставки не действует.
apppayment_208a75cceeac8424211bff23a9c5fae9,Клиент электронной почты не является действительным
apppayment_dcf951059ca444f87d296d3b192783e6,Клиент с этой электронной почты не существует
apppayment_dd6b089a49908d671c3e9cc8dc5899ae,Неверное сообщение
appaddaddress_5058fb0856b024c6a3c18d8e0c764157,адрес доставки был успешно обновлен.
appaddaddress_51c3de87708e874610d18c0f70e525a3,адрес доставки был успешно добавлен.
appaddaddress_432100411a1c9a89bf06133afe8b96ce,При добавлении вашего адреса произошла ошибка.
appaddaddress_eeabead01c6c6f25f22bf0b041df58a9,Вы должны зарегистрировать хотя бы один номер телефона.
appaddaddress_66ed24fd1b91e55ae0ad7fdb4ed251c7,Эта страна требует, чтобы вы выбрали государство.
appaddaddress_3dc3fe315fc270e7425b12e157e4619d,Эта страна не является активной.
appaddaddress_78f66140209a4979028fb80f21be5a44,Zip / Почтовый индекс вы \ 'ве недействителен. Он должен иметь следующий формат:% s
appaddaddress_50b668816d2acbdb62484bb5ea5d25ab,Zip / Почтовый индекс требуется.
appaddaddress_e6c1e151f2554afad6c0d551046650e8,Zip / Почтовый индекс является недействительным.
appaddaddress_7c77177e0084c27161d63e7de535a1c6,Идентификационный номер неверен или уже используется.
appaddaddress_355169a606c66a6a39b8d23609f7329e,Псевдоним% s уже используется. Пожалуйста, выберите другой.
appaddaddress_a00acc9b49d721d1e3006715a0ce7014,Адрес электронной почты не является действительным
appaddaddress_dcf951059ca444f87d296d3b192783e6,Клиент с этой электронной почты не существует
appaddgiftwrapping_e61f52d02b9f52fbe1fd41ed320e29c3,Корзина не найдены
appaddgiftwrapping_694e8d1f2ee056f98ee488bdc4982d73,Количество
appaddgiftwrapping_6665e3761028c84e1d228de3432229ed,SKU
appaddgiftwrapping_287234a1ff35a314b5b6bc4e5828e745,Атрибуты
appaddgiftwrapping_604279a9bb5369542695f2ad9e6185ca,Общая стоимость (налог с оборота не включая.)
appaddgiftwrapping_ada0f55ef37f4928c5cd970f378c15e8,Всего ваучеры
appaddgiftwrapping_7c166105b10b8a6a0c0f1c6540f5cd5e,Всего подарочная упаковка
appaddgiftwrapping_f4e8b53a114e5a17d051ab84d326cae5,Общая доставка
appaddgiftwrapping_c6995d6cc084c192bc2e742f052a5c74,Бесплатная доставка!
appaddgiftwrapping_b602e0d0c6a72053d0a5be60cb2f8126,Общая налоговая
appaddgiftwrapping_f3547ae5e06426d87312eff7dda775aa,Итоговая цена
appaddgiftwrapping_ec1f68c64fcaf8260cfacf58cd4d4af7,Воспользуйтесь нашими эксклюзивными предложениями
