app_text_sec,Sec
app_text_min,Min
app_text_hour,Hour
apicall_954834405d762e3b854af89d3841eb2a,запит недоступний
appcheckabandonedcart_0259a1bb6da0603027485ebdec0e64e3,Повідомлення успішно відправлено
appcheckabandonedcart_32cc9bac41739e0edebc83e239783807,Покинута установка кошика відключена
appcheckabandonedcart_d5591d98b2f74d48205cfba7803045cf,Ви не маєте прав на доступ до цієї сторінки
apppayment_c91ceabee74d73ebaa1c93e38a108179,Неможливо завантажити віз, Ідентифікатор кошика відсутній.
apppayment_02d12101fb0f9afa9e6edb0fef748a42,Неможливо завантажити візок, візок не діє.
apppayment_5189067f57ecc2a8b0fed9324bb808ca,Адреса доставки не діє.
apppayment_208a75cceeac8424211bff23a9c5fae9,Клієнт електронної пошти не є дійсним
apppayment_dcf951059ca444f87d296d3b192783e6,Клієнт з цієї електронної пошти не існує
apppayment_dd6b089a49908d671c3e9cc8dc5899ae,неправильне повідомлення
appaddaddress_5058fb0856b024c6a3c18d8e0c764157,адреса доставки був успішно оновлено.
appaddaddress_51c3de87708e874610d18c0f70e525a3,адреса доставки був успішно доданий.
appaddaddress_432100411a1c9a89bf06133afe8b96ce,При додаванні вашого адреси сталася помилка.
appaddaddress_eeabead01c6c6f25f22bf0b041df58a9,Ви повинні зареєструвати хоча б один номер телефону.
appaddaddress_66ed24fd1b91e55ae0ad7fdb4ed251c7,Ця країна вимагає, щоб ви вибрали держава.
appaddaddress_3dc3fe315fc270e7425b12e157e4619d,Ця країна не є активною.
appaddaddress_78f66140209a4979028fb80f21be5a44,Zip / Поштовий індекс ви \ 'ве недійсний. Він повинен мати наступний формат:% s
appaddaddress_50b668816d2acbdb62484bb5ea5d25ab,Zip / Поштовий індекс потрібно.
appaddaddress_e6c1e151f2554afad6c0d551046650e8,Zip / Поштовий індекс є недійсним.
appaddaddress_7c77177e0084c27161d63e7de535a1c6,Ідентифікаційний номер невірний або вже використовується.
appaddaddress_355169a606c66a6a39b8d23609f7329e,Ім'я користувача% s вже використовується. Будь ласка, виберіть інший.
appaddaddress_a00acc9b49d721d1e3006715a0ce7014,Адреса електронної пошти не є дійсним
appaddaddress_dcf951059ca444f87d296d3b192783e6,Клієнт з цієї електронної пошти не існує
appaddgiftwrapping_e61f52d02b9f52fbe1fd41ed320e29c3,Кошик не знайдені
appaddgiftwrapping_694e8d1f2ee056f98ee488bdc4982d73,кількість
appaddgiftwrapping_6665e3761028c84e1d228de3432229ed,SKU
appaddgiftwrapping_287234a1ff35a314b5b6bc4e5828e745,атрибути
appaddgiftwrapping_604279a9bb5369542695f2ad9e6185ca,Загальна вартість (податок з обороту не включаючи.)
appaddgiftwrapping_ada0f55ef37f4928c5cd970f378c15e8,всього ваучери
appaddgiftwrapping_7c166105b10b8a6a0c0f1c6540f5cd5e,Всього подарункова упаковка
appaddgiftwrapping_f4e8b53a114e5a17d051ab84d326cae5,Загальна доставка
appaddgiftwrapping_c6995d6cc084c192bc2e742f052a5c74,Безкоштовна доставка!
appaddgiftwrapping_b602e0d0c6a72053d0a5be60cb2f8126,Загальне податкове
appaddgiftwrapping_f3547ae5e06426d87312eff7dda775aa,Загальна сума
